id,day,checkin,checkout
1197,2017-11-16,2017-11-16 08:31:39,2017-11-16 20:55:31
1275,2017-11-16,2017-11-16 08:32:16,2017-11-16 18:17:20
1106,2017-11-16,2017-11-16 08:32:32,2017-11-16 20:22:34
1270,2017-11-16,2017-11-16 08:32:37,2017-11-16 20:26:14
1336,2017-11-16,2017-11-16 08:33:30,2017-11-16 18:48:05
1265,2017-11-16,2017-11-16 08:33:35,2017-11-16 21:05:00
1221,2017-11-16,2017-11-16 08:34:03,2017-11-16 15:55:50
1382,2017-11-16,2017-11-16 08:34:13,2017-11-16 21:39:16
1406,2017-11-16,2017-11-16 08:34:43,2017-11-16 20:42:01
1393,2017-11-16,2017-11-16 08:34:45,2017-11-16 21:22:44
1189,2017-11-16,2017-11-16 08:35:06,2017-11-16 19:03:59
1420,2017-11-16,2017-11-16 08:35:09,2017-11-16 20:16:37
1305,2017-11-16,2017-11-16 08:36:22,2017-11-16 19:23:52
1371,2017-11-16,2017-11-16 08:36:52,2017-11-16 18:14:44
1100,2017-11-16,2017-11-16 08:37:15,2017-11-16 21:33:26
1152,2017-11-16,2017-11-16 08:37:26,2017-11-16 18:55:04
1425,2017-11-16,2017-11-16 08:37:33,2017-11-16 18:28:34
1423,2017-11-16,2017-11-16 08:38:20,2017-11-16 18:17:02
1435,2017-11-16,2017-11-16 08:38:20,2017-11-16 20:40:43
1262,2017-11-16,2017-11-16 08:40:17,2017-11-16 19:25:29
1399,2017-11-16,2017-11-16 08:40:30,2017-11-16 19:35:37
1129,2017-11-16,2017-11-16 08:40:30,2017-11-16 19:19:52
1277,2017-11-16,2017-11-16 08:40:35,2017-11-16 21:03:11
1205,2017-11-16,2017-11-16 08:41:00,2017-11-16 19:57:42
1149,2017-11-16,2017-11-16 08:41:15,2017-11-16 19:14:09
1134,2017-11-16,2017-11-16 08:41:44,2017-11-16 20:55:44
1303,2017-11-16,2017-11-16 08:42:05,2017-11-16 19:52:34
1446,2017-11-16,2017-11-16 08:42:39,2017-11-16 18:22:47
1388,2017-11-16,2017-11-16 08:42:47,2017-11-16 20:19:00
1473,2017-11-16,2017-11-16 08:43:10,2017-11-16 18:02:49
1153,2017-11-16,2017-11-16 08:43:11,2017-11-16 19:11:02
1378,2017-11-16,2017-11-16 08:44:16,2017-11-16 18:33:14
1103,2017-11-16,2017-11-16 08:45:25,2017-11-16 21:55:31
1139,2017-11-16,2017-11-16 08:45:28,2017-11-16 19:02:17
1301,2017-11-16,2017-11-16 08:45:35,2017-11-16 18:22:34
1110,2017-11-16,2017-11-16 08:45:47,2017-11-16 18:18:31
1112,2017-11-16,2017-11-16 08:46:12,2017-11-16 19:13:14
1490,2017-11-16,2017-11-16 08:46:13,2017-11-16 18:34:18
1405,2017-11-16,2017-11-16 08:47:07,2017-11-16 17:11:48
1249,2017-11-16,2017-11-16 08:47:30,2017-11-16 19:28:05
1326,2017-11-16,2017-11-16 08:47:31,2017-11-16 19:04:38
1314,2017-11-16,2017-11-16 08:47:36,2017-11-16 18:53:11
1263,2017-11-16,2017-11-16 08:47:47,2017-11-16 18:33:15
1060,2017-11-16,2017-11-16 08:47:52,2017-11-16 18:11:41
1234,2017-11-16,2017-11-16 08:48:07,2017-11-16 21:13:09
1460,2017-11-16,2017-11-16 08:48:18,2017-11-16 20:17:30
1475,2017-11-16,2017-11-16 08:48:39,2017-11-16 18:53:39
1398,2017-11-16,2017-11-16 08:49:04,2017-11-16 19:49:38
1499,2017-11-16,2017-11-16 08:49:14,2017-11-16 18:35:43
1068,2017-11-16,2017-11-16 08:49:25,2017-11-16 16:27:02
1379,2017-11-16,2017-11-16 08:49:36,2017-11-16 18:24:14
1433,2017-11-16,2017-11-16 08:49:39,2017-11-16 18:39:55
1343,2017-11-16,2017-11-16 08:50:07,2017-11-16 19:55:59
1169,2017-11-16,2017-11-16 08:50:15,2017-11-16 21:57:54
1141,2017-11-16,2017-11-16 08:50:24,2017-11-16 19:46:15
1184,2017-11-16,2017-11-16 08:50:29,2017-11-16 19:09:19
1363,2017-11-16,2017-11-16 08:50:30,2017-11-16 19:08:04
1474,2017-11-16,2017-11-16 08:51:04,2017-11-16 20:52:56
1132,2017-11-16,2017-11-16 08:51:09,2017-11-16 19:24:19
1233,2017-11-16,2017-11-16 08:51:12,2017-11-16 20:23:07
1230,2017-11-16,2017-11-16 08:51:13,2017-11-16 18:48:47
1391,2017-11-16,2017-11-16 08:51:56,2017-11-16 18:45:49
1416,2017-11-16,2017-11-16 08:51:57,2017-11-16 18:56:09
1357,2017-11-16,2017-11-16 08:52:04,2017-11-16 20:00:14
1436,2017-11-16,2017-11-16 08:52:10,2017-11-16 19:11:49
1295,2017-11-16,2017-11-16 08:52:16,2017-11-16 18:25:44
1404,2017-11-16,2017-11-16 08:52:35,2017-11-16 18:58:00
1409,2017-11-16,2017-11-16 08:52:53,2017-11-16 19:36:24
1200,2017-11-16,2017-11-16 08:53:22,2017-11-16 19:23:05
1092,2017-11-16,2017-11-16 08:53:25,2017-11-16 19:30:16
1385,2017-11-16,2017-11-16 08:54:16,2017-11-16 19:24:04
1322,2017-11-16,2017-11-16 08:54:24,2017-11-16 20:35:54
1183,2017-11-16,2017-11-16 08:54:44,2017-11-16 20:30:35
1211,2017-11-16,2017-11-16 08:54:46,2017-11-16 21:06:02
1373,2017-11-16,2017-11-16 08:55:05,2017-11-16 19:10:31
1243,2017-11-16,2017-11-16 08:55:07,2017-11-16 19:03:27
1223,2017-11-16,2017-11-16 08:55:08,2017-11-16 18:37:45
1354,2017-11-16,2017-11-16 08:55:15,2017-11-16 19:37:37
1118,2017-11-16,2017-11-16 08:55:33,2017-11-16 20:01:57
1315,2017-11-16,2017-11-16 08:55:35,2017-11-16 18:59:28
1170,2017-11-16,2017-11-16 08:55:38,2017-11-16 20:06:54
1494,2017-11-16,2017-11-16 08:55:40,2017-11-16 21:11:50
1300,2017-11-16,2017-11-16 08:55:46,2017-11-16 18:38:58
1403,2017-11-16,2017-11-16 08:55:50,2017-11-16 18:21:11
1195,2017-11-16,2017-11-16 08:55:55,2017-11-16 18:04:41
1281,2017-11-16,2017-11-16 08:56:07,2017-11-16 18:51:05
1313,2017-11-16,2017-11-16 08:56:09,2017-11-16 19:06:58
1480,2017-11-16,2017-11-16 08:56:11,2017-11-16 18:08:45
1319,2017-11-16,2017-11-16 08:56:11,2017-11-16 18:10:40
1308,2017-11-16,2017-11-16 08:56:28,2017-11-16 21:29:25
1408,2017-11-16,2017-11-16 08:56:44,2017-11-16 20:03:44
1469,2017-11-16,2017-11-16 08:56:51,2017-11-16 18:17:04
1334,2017-11-16,2017-11-16 08:57:02,2017-11-16 19:07:23
1156,2017-11-16,2017-11-16 08:57:29,2017-11-16 18:40:49
1323,2017-11-16,2017-11-16 08:57:42,2017-11-16 19:25:58
1458,2017-11-16,2017-11-16 08:57:45,2017-11-16 18:09:35
1440,2017-11-16,2017-11-16 08:57:50,2017-11-16 19:11:48
1192,2017-11-16,2017-11-16 08:57:52,2017-11-16 19:29:28
1113,2017-11-16,2017-11-16 08:57:58,2017-11-16 19:00:25
1176,2017-11-16,2017-11-16 08:58:26,2017-11-16 19:35:17
1172,2017-11-16,2017-11-16 08:58:46,2017-11-16 22:04:05
1340,2017-11-16,2017-11-16 08:59:41,2017-11-16 20:57:58
1287,2017-11-16,2017-11-16 09:00:21,2017-11-16 20:43:37
1159,2017-11-16,2017-11-16 09:02:26,2017-11-16 19:03:16
1348,2017-11-16,2017-11-16 09:03:08,2017-11-16 21:58:08
1464,2017-11-16,2017-11-16 09:04:52,2017-11-16 18:40:10
1339,2017-11-16,2017-11-16 09:05:05,2017-11-16 19:14:45
1396,2017-11-16,2017-11-16 09:06:52,2017-11-16 19:18:19
1350,2017-11-16,2017-11-16 09:11:35,2017-11-16 19:57:32
1147,2017-11-16,2017-11-16 09:13:52,2017-11-16 19:57:19
1450,2017-11-16,2017-11-16 09:14:29,2017-11-16 21:20:17
1126,2017-11-16,2017-11-16 09:15:46,2017-11-16 20:40:14
1193,2017-11-16,2017-11-16 09:18:13,2017-11-16 19:55:44
1394,2017-11-16,2017-11-16 09:21:24,2017-11-16 20:03:46
1422,2017-11-16,2017-11-16 09:22:48,2017-11-16 19:56:15
1231,2017-11-16,2017-11-16 09:23:17,2017-11-16 21:09:34
1171,2017-11-16,2017-11-16 09:23:49,2017-11-16 20:43:51
1278,2017-11-16,2017-11-16 09:23:50,2017-11-16 18:44:19
1328,2017-11-16,2017-11-16 09:23:55,2017-11-16 20:04:18
1457,2017-11-16,2017-11-16 09:25:46,2017-11-16 21:02:08
1355,2017-11-16,2017-11-16 09:25:47,2017-11-16 19:25:20
1217,2017-11-16,2017-11-16 09:26:09,2017-11-16 19:53:32
1279,2017-11-16,2017-11-16 09:26:16,2017-11-16 20:32:45
1395,2017-11-16,2017-11-16 09:26:16,2017-11-16 22:18:39
1238,2017-11-16,2017-11-16 09:26:38,2017-11-16 19:40:52
1219,2017-11-16,2017-11-16 09:27:21,2017-11-16 20:05:56
1367,2017-11-16,2017-11-16 09:27:38,2017-11-16 20:42:16
1181,2017-11-16,2017-11-16 09:27:50,2017-11-16 20:14:51
1119,2017-11-16,2017-11-16 09:28:04,2017-11-16 20:57:46
1290,2017-11-16,2017-11-16 09:28:19,2017-11-16 20:15:51
1202,2017-11-16,2017-11-16 09:28:46,2017-11-16 20:53:52
1007,2017-11-16,2017-11-16 09:28:50,2017-11-16 16:39:57
1364,2017-11-16,2017-11-16 09:29:08,2017-11-16 19:08:41
1164,2017-11-16,2017-11-16 09:29:44,2017-11-16 20:28:31
1282,2017-11-16,2017-11-16 09:29:48,2017-11-16 21:08:10
1244,2017-11-16,2017-11-16 09:30:39,2017-11-16 20:23:34
1470,2017-11-16,2017-11-16 09:31:30,2017-11-16 16:18:03
1228,2017-11-16,2017-11-16 09:31:45,2017-11-16 23:06:08
1150,2017-11-16,2017-11-16 09:33:14,2017-11-16 22:00:40
1155,2017-11-16,2017-11-16 09:33:19,2017-11-16 21:56:54
1500,2017-11-16,2017-11-16 09:34:37,2017-11-16 22:23:31
1401,2017-11-16,2017-11-16 09:34:48,2017-11-16 19:17:22
1389,2017-11-16,2017-11-16 09:34:56,2017-11-16 19:10:25
1245,2017-11-16,2017-11-16 09:36:58,2017-11-16 20:32:08
1324,2017-11-16,2017-11-16 09:37:20,2017-11-16 19:20:40
1338,2017-11-16,2017-11-16 09:38:01,2017-11-16 21:39:06
1444,2017-11-16,2017-11-16 09:38:21,2017-11-16 23:05:21
1311,2017-11-16,2017-11-16 09:39:02,2017-11-16 22:57:39
1101,2017-11-16,2017-11-16 09:39:04,2017-11-16 21:44:32
1374,2017-11-16,2017-11-16 09:39:14,2017-11-16 23:03:02
1239,2017-11-16,2017-11-16 09:40:10,2017-11-16 20:38:48
1356,2017-11-16,2017-11-16 09:41:24,2017-11-16 19:01:31
1241,2017-11-16,2017-11-16 09:42:05,2017-11-16 21:45:32
1148,2017-11-16,2017-11-16 09:42:30,2017-11-16 21:03:44
1291,2017-11-16,2017-11-16 09:42:31,2017-11-16 20:25:10
1130,2017-11-16,2017-11-16 09:43:20,2017-11-16 20:09:45
1325,2017-11-16,2017-11-16 09:43:55,2017-11-16 20:15:39
1333,2017-11-16,2017-11-16 09:44:11,2017-11-16 19:39:03
1332,2017-11-16,2017-11-16 09:44:29,2017-11-16 20:09:31
1390,2017-11-16,2017-11-16 09:44:36,2017-11-16 21:42:41
1487,2017-11-16,2017-11-16 09:44:56,2017-11-16 23:34:45
1438,2017-11-16,2017-11-16 09:44:59,2017-11-16 19:23:38
1380,2017-11-16,2017-11-16 09:45:29,2017-11-16 19:07:26
1410,2017-11-16,2017-11-16 09:45:35,2017-11-16 19:13:54
1194,2017-11-16,2017-11-16 09:45:55,2017-11-16 21:51:48
1267,2017-11-16,2017-11-16 09:46:47,2017-11-16 20:24:59
1079,2017-11-16,2017-11-16 09:47:08,2017-11-16 21:15:31
1143,2017-11-16,2017-11-16 09:47:54,2017-11-16 20:42:40
1135,2017-11-16,2017-11-16 09:48:17,2017-11-16 20:14:56
1411,2017-11-16,2017-11-16 09:48:49,2017-11-16 19:49:49
1478,2017-11-16,2017-11-16 09:49:13,2017-11-16 19:43:52
1057,2017-11-16,2017-11-16 09:49:20,2017-11-16 19:44:26
1489,2017-11-16,2017-11-16 09:50:36,2017-11-16 19:20:16
1174,2017-11-16,2017-11-16 09:51:55,2017-11-16 19:31:29
1360,2017-11-16,2017-11-16 09:52:29,2017-11-16 21:48:09
1361,2017-11-16,2017-11-16 09:52:45,2017-11-16 20:08:30
1206,2017-11-16,2017-11-16 09:52:45,2017-11-16 21:35:26
1274,2017-11-16,2017-11-16 09:54:01,2017-11-16 21:53:46
1273,2017-11-16,2017-11-16 09:54:43,2017-11-16 20:10:53
1175,2017-11-16,2017-11-16 09:54:44,2017-11-16 20:17:12
1424,2017-11-16,2017-11-16 09:54:47,2017-11-16 21:58:46
1461,2017-11-16,2017-11-16 09:54:52,2017-11-16 19:55:55
1445,2017-11-16,2017-11-16 09:55:01,2017-11-16 21:31:20
1384,2017-11-16,2017-11-16 09:55:05,2017-11-16 21:14:00
1216,2017-11-16,2017-11-16 09:55:07,2017-11-16 20:27:41
1179,2017-11-16,2017-11-16 09:55:14,2017-11-16 19:05:36
1376,2017-11-16,2017-11-16 09:55:58,2017-11-16 23:46:55
1381,2017-11-16,2017-11-16 09:56:04,2017-11-16 21:43:17
1261,2017-11-16,2017-11-16 09:56:18,2017-11-16 19:02:23
1163,2017-11-16,2017-11-16 09:56:29,2017-11-16 19:51:44
1402,2017-11-16,2017-11-16 09:56:36,2017-11-16 20:04:46
1096,2017-11-16,2017-11-16 09:56:40,2017-11-16 20:06:55
1434,2017-11-16,2017-11-16 09:56:45,2017-11-16 19:52:37
1284,2017-11-16,2017-11-16 09:57:07,2017-11-16 23:35:16
1465,2017-11-16,2017-11-16 09:57:26,2017-11-16 19:12:51
1482,2017-11-16,2017-11-16 09:57:47,2017-11-16 20:58:43
1268,2017-11-16,2017-11-16 09:57:52,2017-11-16 20:53:40
1352,2017-11-16,2017-11-16 09:58:20,2017-11-16 19:07:58
1462,2017-11-16,2017-11-16 09:58:59,2017-11-16 20:15:35
1421,2017-11-16,2017-11-16 09:59:03,2017-11-16 22:07:57
1173,2017-11-16,2017-11-16 09:59:28,2017-11-16 19:41:50
1080,2017-11-16,2017-11-16 09:59:32,2017-11-16 23:33:42
1383,2017-11-16,2017-11-16 10:00:28,2017-11-16 19:02:53
1178,2017-11-16,2017-11-16 10:00:59,2017-11-16 19:09:57
1497,2017-11-16,2017-11-16 10:01:46,2017-11-16 19:53:25
1058,2017-11-16,2017-11-16 10:10:15,2017-11-16 21:37:39
1283,2017-11-16,2017-11-16 10:11:44,2017-11-16 19:41:23
1365,2017-11-16,2017-11-16 10:18:30,2017-11-16 20:08:10
1297,2017-11-16,2017-11-16 10:21:37,2017-11-16 19:02:53
1304,2017-11-16,2017-11-16 10:24:27,2017-11-16 19:18:01
