time,sip,sport,dip,dport,host
2017-11-18 11:38:36,10.64.105.210,2528,10.5.71.60,443,email.hightech.com
2017-11-18 11:39:19,10.64.105.242,2632,10.5.71.60,443,email.hightech.com
2017-11-18 11:39:39,10.64.105.135,2152,10.50.50.41,59500,
2017-11-18 11:39:46,10.64.106.32,2958,114.80.130.60,80,sports.sohu.com
2017-11-18 11:40:24,10.64.105.147,1741,10.5.71.60,443,email.hightech.com
2017-11-18 11:41:19,10.64.105.147,1948,10.50.50.43,80,
2017-11-18 11:41:46,10.64.106.8,2592,10.5.71.60,443,email.hightech.com
2017-11-18 11:42:16,10.64.105.242,2844,10.50.50.49,80,
2017-11-18 11:42:40,10.64.105.151,2571,10.5.71.60,443,email.hightech.com
2017-11-18 11:44:23,10.64.106.6,2647,183.134.15.16,8080,v.6.cn
2017-11-18 11:45:10,10.64.105.251,2055,10.50.50.26,443,git.hightech.com
2017-11-18 11:46:26,10.64.105.104,2376,10.5.71.60,443,email.hightech.com
2017-11-18 11:48:04,10.64.105.242,2951,10.5.71.60,443,email.hightech.com
2017-11-18 11:48:17,10.64.106.6,2072,10.5.71.60,443,email.hightech.com
2017-11-18 11:48:43,10.64.105.151,2483,10.5.71.60,443,email.hightech.com
2017-11-18 11:49:40,10.64.105.99,2286,10.50.50.27,443,jira.hightech.com
2017-11-18 11:49:55,10.64.105.4,4528,61.144.244.18,80,www.cjol.com
2017-11-18 11:50:10,10.64.105.251,2142,10.50.50.26,443,git.hightech.com
2017-11-18 11:50:40,10.64.105.99,2183,10.50.50.40,80,
2017-11-18 11:50:41,10.64.106.10,2697,10.5.71.60,443,email.hightech.com
2017-11-18 11:52:09,10.64.105.135,2322,10.5.71.60,443,email.hightech.com
2017-11-18 11:53:31,10.64.106.8,2564,10.63.120.70,443,OA.hightech.com
2017-11-18 11:54:06,10.64.105.245,2956,151.101.229.147,443,zwmin.com
2017-11-18 11:56:03,10.64.105.161,2369,10.50.50.40,80,
2017-11-18 11:56:32,10.64.105.161,3155,10.50.50.29,443,lib02.hightech.com
2017-11-18 11:57:38,10.64.106.10,3016,115.238.190.238,443,bbs.sina.com.cn
2017-11-18 11:58:12,10.64.105.147,2274,10.5.71.60,443,email.hightech.com
2017-11-18 11:59:10,10.64.106.38,2445,10.5.71.60,443,email.hightech.com
2017-11-18 12:00:53,10.64.105.210,2214,13.112.36.4,443,www.acfun.tv
2017-11-18 12:00:55,10.64.105.104,2594,114.80.130.60,80,sports.sohu.com
2017-11-18 12:01:01,10.64.105.161,3046,10.63.120.70,443,OA.hightech.com
2017-11-18 12:02:52,10.64.105.151,1990,10.50.50.27,443,jira.hightech.com
2017-11-18 12:02:59,10.64.105.161,2437,10.50.50.27,443,jira.hightech.com
2017-11-18 12:02:59,10.64.106.8,3379,42.81.4.44,443,www.9ku.com
2017-11-18 12:03:31,10.64.105.67,2069,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:03:49,10.64.105.155,3031,10.5.71.60,443,email.hightech.com
2017-11-18 12:04:25,10.64.105.147,2429,10.50.50.43,80,
2017-11-18 12:04:34,10.64.106.38,2279,220.181.112.244,443,www.baidu.com
2017-11-18 12:05:21,10.64.105.210,2170,10.50.50.43,80,
2017-11-18 12:05:31,10.64.105.245,2584,10.50.50.44,55200,
2017-11-18 12:06:25,10.64.105.67,2213,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:06:40,10.64.105.242,2531,10.50.50.29,443,lib02.hightech.com
2017-11-18 12:07:04,10.64.106.32,3322,114.80.130.60,80,sports.sohu.com
2017-11-18 12:07:41,10.64.105.99,2569,10.50.50.40,80,
2017-11-18 12:08:01,10.64.106.6,1627,101.227.176.45,443,www.icbc.com.cn
2017-11-18 12:09:19,10.64.105.155,2762,10.7.133.15,80,
2017-11-18 12:09:36,10.64.105.58,2571,114.80.130.61,443,club.sohu.com
2017-11-18 12:10:34,10.64.105.210,2399,170.178.178.57,443,www.yuanma.org
2017-11-18 12:10:53,10.64.106.6,2425,10.5.71.60,443,email.hightech.com
2017-11-18 12:10:59,10.64.105.147,2103,10.50.50.43,80,
2017-11-18 12:11:03,10.64.105.67,2044,10.50.50.26,443,git.hightech.com
2017-11-18 12:12:05,10.64.106.34,1969,10.50.50.27,443,jira.hightech.com
2017-11-18 12:12:12,10.64.105.155,2976,101.201.174.210,80,www.iteye.com
2017-11-18 12:12:32,10.64.106.32,2984,122.228.250.89,443,www.hupu.com
2017-11-18 12:12:52,10.64.106.10,3209,10.63.120.70,443,OA.hightech.com
2017-11-18 12:13:24,10.64.105.161,2763,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:13:40,10.64.105.242,3188,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:13:41,10.64.106.34,1865,199.119.126.68,443,www.infoq.com
2017-11-18 12:14:03,10.64.105.227,2125,10.5.71.60,443,email.hightech.com
2017-11-18 12:14:08,10.64.105.155,2354,10.7.133.15,80,
2017-11-18 12:16:03,10.64.105.13,1775,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:16:14,10.64.105.4,4525,115.159.231.213,80,www.chinahr.com
2017-11-18 12:16:34,10.64.105.161,2938,104.28.19.152,443,www.dreamincode.net/forums/
2017-11-18 12:17:19,10.64.106.38,2529,10.5.71.60,443,email.hightech.com
2017-11-18 12:17:27,10.64.105.147,2454,10.50.50.43,80,
2017-11-18 12:17:44,10.64.105.245,2749,10.63.120.70,443,OA.hightech.com
2017-11-18 12:18:06,10.64.105.245,3108,10.50.50.27,443,jira.hightech.com
2017-11-18 12:18:45,10.64.105.210,2210,10.5.71.60,443,email.hightech.com
2017-11-18 12:20:00,10.64.105.99,2043,218.75.225.192,80,www.douyu.com
2017-11-18 12:21:20,10.64.106.6,1716,101.227.176.45,443,www.icbc.com.cn
2017-11-18 12:22:27,10.64.105.227,2399,10.5.71.60,443,email.hightech.com
2017-11-18 12:22:30,10.64.106.34,1860,169.45.222.26,443,teamtreehouse.com/forum
2017-11-18 12:22:31,10.64.105.67,1897,10.5.71.60,443,email.hightech.com
2017-11-18 12:22:59,10.64.105.227,2449,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:23:40,10.64.105.161,2638,10.63.120.70,443,OA.hightech.com
2017-11-18 12:23:54,10.64.105.161,2828,10.63.120.70,443,OA.hightech.com
2017-11-18 12:24:35,10.64.106.38,2577,10.5.71.60,443,email.hightech.com
2017-11-18 12:25:19,10.64.105.155,2470,10.7.133.15,80,
2017-11-18 12:26:00,10.64.105.245,2509,10.50.50.26,443,git.hightech.com
2017-11-18 12:26:27,10.64.106.38,2662,10.63.120.70,443,OA.hightech.com
2017-11-18 12:26:31,10.64.105.242,3006,101.201.170.152,80,www.programmer.com.cn
2017-11-18 12:26:56,10.64.105.135,2226,10.5.71.60,443,email.hightech.com
2017-11-18 12:27:26,10.64.105.13,2110,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:27:39,10.64.105.210,2509,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:27:42,10.64.105.242,2253,47.90.104.180,80,xiaoxia.org
2017-11-18 12:28:02,10.64.105.104,2284,10.63.120.70,443,OA.hightech.com
2017-11-18 12:29:24,10.64.105.161,3118,10.5.71.60,443,email.hightech.com
2017-11-18 12:30:54,10.64.105.242,3296,10.50.50.49,80,
2017-11-18 12:31:21,10.64.105.4,4410, 115.182.7.241,80,http://www.shoudurc.com/
2017-11-18 12:31:28,10.64.105.161,3208,10.50.50.26,443,git.hightech.com
2017-11-18 12:31:54,10.64.105.99,2757,10.50.50.40,80,
2017-11-18 12:32:14,10.64.105.147,2605,10.50.50.27,443,jira.hightech.com
2017-11-18 12:32:31,10.64.106.38,2960,10.63.120.70,443,OA.hightech.com
2017-11-18 12:33:04,10.64.105.4,4653,59.151.5.6,80,www.zhaopin.com
2017-11-18 12:34:39,10.64.105.210,2647,10.50.50.43,80,
2017-11-18 12:35:53,10.64.105.4,3906,61.129.48.158,80,www.51job.com
2017-11-18 12:37:16,10.64.105.58,2702,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:39:51,10.64.106.10,3289,10.5.71.60,443,email.hightech.com
2017-11-18 12:40:56,10.64.105.135,2562,120.92.74.139,8080,www.diguage.com
2017-11-18 12:41:38,10.64.105.67,2330,10.50.50.43,60400,
2017-11-18 12:44:50,10.64.105.104,2757,10.50.50.27,443,jira.hightech.com
2017-11-18 12:45:22,10.64.105.227,2674,10.50.50.28,443,lib01.hightech.com
2017-11-18 12:45:24,10.64.105.4,4504, 121.29.54.108,80,http://www.goodjob.cn/
2017-11-18 12:45:41,10.64.105.155,3155,10.5.71.60,443,email.hightech.com
2017-11-18 12:45:56,10.64.106.32,3472,42.81.4.44,443,www.9ku.com
2017-11-18 12:46:08,10.64.105.245,3173,10.5.71.60,443,email.hightech.com
2017-11-18 12:47:26,10.64.105.13,2215,10.63.120.70,443,OA.hightech.com
2017-11-18 12:47:32,10.64.105.251,2400,10.50.50.26,443,git.hightech.com
2017-11-18 12:47:36,10.64.106.34,2113,10.63.120.70,443,OA.hightech.com
2017-11-18 12:48:57,10.64.106.8,3408,122.228.250.89,443,www.hupu.com
2017-11-18 12:49:30,10.64.105.151,2720,10.63.120.70,443,OA.hightech.com
2017-11-18 12:49:44,10.64.106.6,2737,183.134.15.16,8080,v.6.cn
2017-11-18 12:58:03,10.64.105.161,3330,104.28.19.152,443,www.dreamincode.net/forums/
2017-11-18 13:03:43,10.64.105.242,3462,10.50.50.49,80,
2017-11-18 13:07:09,10.64.105.99,2940,10.5.71.60,443,email.hightech.com
2017-11-18 13:07:24,10.64.106.38,3121,220.181.112.244,443,www.baidu.com
2017-11-18 13:08:00,10.64.105.147,2660,203.188.200.67,443,www.yahoo.com
2017-11-18 13:08:12,10.64.105.210,2662,124.74.240.136,8080,www.bankcomm.com
2017-11-18 13:08:44,10.64.105.4,4241,117.25.139.136,80,www.yjbys.com
2017-11-18 13:10:04,10.64.106.8,3457,114.80.130.60,80,sports.sohu.com
2017-11-18 13:10:56,10.64.105.227,2767,10.5.71.60,443,email.hightech.com
2017-11-18 13:11:19,10.64.105.58,2735,10.7.133.15,56800,
2017-11-18 13:11:27,10.64.105.4,4361,59.151.5.6,80,www.zhaopin.com
2017-11-18 13:11:43,10.64.105.219,4417, 202.75.221.22,80,http://www.sunhr.com/
2017-11-18 13:12:17,10.64.105.4,4672,59.151.5.6,80,www.zhaopin.com
2017-11-18 13:13:17,10.64.106.34,2265,115.231.22.28,443,www.suning.com
2017-11-18 13:15:29,10.64.105.135,2638,58.250.137.36,8080,games.qq.com
2017-11-18 13:18:03,10.64.106.10,3312,74.86.12.172,8080,www.google.com
2017-11-18 13:18:05,10.64.105.151,2874,10.50.50.27,443,jira.hightech.com
2017-11-18 13:19:47,10.64.105.67,2352,10.50.50.29,443,lib02.hightech.com
2017-11-18 13:20:16,10.64.106.6,2766,58.68.226.195,443,rayli.com.cn
2017-11-18 13:20:31,10.64.106.32,3509,10.63.120.70,443,OA.hightech.com
2017-11-18 13:22:00,10.64.105.245,3348,10.50.50.44,55200,
2017-11-18 13:22:30,10.64.105.125,2157,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 13:22:55,10.64.105.104,2838,10.7.133.16,80,
2017-11-18 13:24:07,10.64.105.161,3446,10.50.50.40,80,
2017-11-18 13:24:47,10.64.105.13,2335,10.50.50.44,57100,
2017-11-18 13:25:20,10.64.105.155,3205,47.95.163.175,443,www.csdn.net
2017-11-18 13:27:26,10.64.105.251,2557,10.7.133.16,80,
2017-11-18 13:29:56,10.64.106.38,3207,10.5.71.60,443,email.hightech.com
2017-11-18 13:35:40,10.64.105.58,3008,158.69.145.57,8080,www.programmer-club.com/index.asp
2017-11-18 13:35:51,10.64.105.147,2890,120.55.239.105,443,www.36kr.com
2017-11-18 13:36:14,10.64.105.58,2871,10.50.50.28,443,lib01.hightech.com
2017-11-18 13:38:56,10.64.105.227,4585,116.255.189.30,8080,www.fyter.cn/Default.aspx
2017-11-18 13:41:25,10.64.105.4,4758,59.151.5.6,80,www.zhaopin.com
2017-11-18 13:41:30,10.64.105.219,3807,61.144.244.18,80,www.cjol.com
2017-11-18 13:41:51,10.64.106.34,2417,10.5.71.60,443,email.hightech.com
2017-11-18 13:43:19,10.64.105.147,3722,10.50.50.26,443,git.hightech.com
2017-11-18 13:45:07,10.64.105.67,2727,10.50.50.43,60400,
2017-11-18 13:45:16,10.64.105.99,4096,10.50.50.26,443,git.hightech.com
2017-11-18 13:47:46,10.64.105.227,4209,10.7.133.15,80,
2017-11-18 13:48:04,10.64.106.32,4044,10.5.71.60,443,email.hightech.com
2017-11-18 13:48:28,10.64.106.6,3656,183.134.15.16,8080,v.6.cn
2017-11-18 13:50:25,10.64.105.147,3183,10.50.50.28,443,lib01.hightech.com
2017-11-18 13:51:19,10.64.106.6,3022,122.226.47.122,80,www.vip.com
2017-11-18 13:51:33,10.64.105.151,3592,10.5.71.60,443,email.hightech.com
2017-11-18 13:55:05,10.64.105.151,5087,220.170.49.109,443,www.yinyuetai.com
2017-11-18 13:58:04,10.64.106.8,4158,10.5.71.60,443,email.hightech.com
2017-11-18 13:58:27,10.64.105.245,3632,10.50.50.44,55200,
2017-11-18 13:58:30,10.64.105.125,2827,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 13:59:21,10.64.106.10,5399,10.5.71.60,443,email.hightech.com
2017-11-18 14:00:02,10.64.106.6,3681,183.134.15.16,8080,v.6.cn
2017-11-18 14:00:31,10.64.105.219,4075, 115.182.7.241,80,http://www.shoudurc.com/
2017-11-18 14:00:53,10.64.106.10,5198,10.63.120.70,443,OA.hightech.com
2017-11-18 14:01:14,10.64.105.251,3065,10.7.133.16,80,
2017-11-18 14:02:10,10.64.105.125,2549,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:02:57,10.64.106.32,4791,10.5.71.60,443,email.hightech.com
2017-11-18 14:03:31,10.64.105.125,2532,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:03:56,10.64.105.125,3103,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:04:21,10.64.106.10,4978,114.80.223.61,443,video.sina.com.cn
2017-11-18 14:05:48,10.64.105.125,3833,10.5.71.60,443,email.hightech.com
2017-11-18 14:05:51,10.64.105.155,4132,10.50.50.29,443,lib02.hightech.com
2017-11-18 14:05:53,10.64.105.67,3281,10.5.71.60,443,email.hightech.com
2017-11-18 14:05:56,10.64.105.135,3023,10.5.71.60,443,email.hightech.com
2017-11-18 14:05:57,10.64.105.99,4823,10.50.50.28,443,lib01.hightech.com
2017-11-18 14:06:23,10.64.105.125,3587,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:07:58,10.64.105.13,2421,10.5.71.60,443,email.hightech.com
2017-11-18 14:08:07,10.64.105.125,3911,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:08:09,10.64.106.10,5158,106.11.47.20,443,www.tudou.com
2017-11-18 14:08:17,10.64.105.210,2977,54.222.60.218,443,www.amazon.cn
2017-11-18 14:09:09,10.64.105.147,3252,10.63.120.70,443,OA.hightech.com
2017-11-18 14:10:20,10.64.105.135,3274,10.5.71.60,443,email.hightech.com
2017-11-18 14:10:57,10.64.105.227,3677,10.7.133.15,80,
2017-11-18 14:11:28,10.64.106.32,4686,10.63.120.70,443,OA.hightech.com
2017-11-18 14:12:11,10.64.105.125,3249,10.5.71.60,443,email.hightech.com
2017-11-18 14:13:08,10.64.105.125,4106,10.5.71.60,443,email.hightech.com
2017-11-18 14:14:10,10.64.105.151,2950,10.50.50.29,443,lib02.hightech.com
2017-11-18 14:19:06,10.64.105.125,3432,10.63.120.70,443,OA.hightech.com
2017-11-18 14:19:13,10.64.105.125,2392,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:19:31,10.64.105.245,3462,204.44.107.93,80,www.codeguru.cn
2017-11-18 14:22:51,10.64.105.161,4042,10.50.50.40,80,
2017-11-18 14:23:46,10.64.105.210,3172,10.50.50.29,443,lib02.hightech.com
2017-11-18 14:24:20,10.64.105.161,3927,10.50.50.40,80,
2017-11-18 14:25:03,10.64.105.125,2694,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:25:18,10.64.105.13,3223,10.5.71.60,443,email.hightech.com
2017-11-18 14:27:28,10.64.105.125,3311,10.5.71.60,443,email.hightech.com
2017-11-18 14:28:32,10.64.105.125,2999,10.5.71.60,443,email.hightech.com
2017-11-18 14:29:16,10.64.105.13,3328,116.251.204.42,443,www.ruanyifeng.com/blog/
2017-11-18 14:30:38,10.64.106.10,3467,106.11.47.20,443,www.tudou.com
2017-11-18 14:32:38,10.64.105.210,2718,220.181.112.244,443,www.baidu.com
2017-11-18 14:33:59,10.64.106.6,2938,10.5.71.60,443,email.hightech.com
2017-11-18 14:34:24,10.64.105.125,3640,116.1.238.73,8080,sports.sina.com.cn
2017-11-18 14:35:10,10.64.106.38,5314,10.63.120.70,443,OA.hightech.com
2017-11-18 14:35:43,10.64.105.242,6280,218.244.139.171,443,www.programfan.com
2017-11-18 14:35:45,10.64.106.38,4187,10.63.120.70,443,OA.hightech.com
2017-11-18 14:35:47,10.64.106.38,4808,10.63.120.70,443,OA.hightech.com
2017-11-18 14:36:42,10.64.105.242,3967,10.50.50.27,443,jira.hightech.com
2017-11-18 14:37:41,10.64.106.38,4125,10.5.71.60,443,email.hightech.com
2017-11-18 14:38:25,10.64.105.125,3873,114.80.130.60,80,sports.sohu.com
2017-11-18 14:38:46,10.64.105.242,5153,10.5.71.60,443,email.hightech.com
2017-11-18 14:39:08,10.64.106.38,3762,220.181.112.244,443,www.baidu.com
2017-11-18 14:42:24,10.64.105.125,3749,10.5.71.60,443,email.hightech.com
2017-11-18 14:42:42,10.64.105.155,5309,10.7.133.15,80,
2017-11-18 14:44:10,10.64.105.125,2897,10.5.71.60,443,email.hightech.com
2017-11-18 14:44:30,10.64.106.10,5132,106.11.47.20,443,www.tudou.com
2017-11-18 14:45:15,10.64.105.155,3259,10.63.120.70,443,OA.hightech.com
2017-11-18 14:45:39,10.64.105.135,3774,10.50.50.28,443,lib01.hightech.com
2017-11-18 14:45:45,10.64.105.151,4623,10.5.71.60,443,email.hightech.com
2017-11-18 14:46:04,10.64.106.32,4375,10.5.71.60,443,email.hightech.com
2017-11-18 14:46:06,10.64.105.99,3278,10.50.50.40,80,
2017-11-18 14:46:46,10.64.105.99,4918,205.186.156.55,80,www.instantshift.com
2017-11-18 14:46:57,10.64.105.125,3224,10.5.71.60,443,email.hightech.com
2017-11-18 14:46:58,10.64.105.104,3102,10.50.50.27,443,jira.hightech.com
2017-11-18 14:47:13,10.64.105.155,3645,10.5.71.60,443,email.hightech.com
2017-11-18 14:47:17,10.64.105.104,3932,10.50.50.27,443,jira.hightech.com
2017-11-18 14:47:17,10.64.105.219,3882,123.59.17.80,80,p.yiqifa.com
2017-11-18 14:47:26,10.64.105.4,4527, 218.16.124.68,80,http://www.jobcn.com/
2017-11-18 14:47:55,10.64.105.4,3856, 120.25.168.68,80,http://www.bole.com.cn/
2017-11-18 14:48:48,10.64.105.4,4407, 120.55.238.210,80,http://www.kanzhun.com/
2017-11-18 14:49:39,10.64.106.38,4844,10.63.120.70,443,OA.hightech.com
2017-11-18 14:49:57,10.64.106.38,4021,10.5.71.60,443,email.hightech.com
2017-11-18 14:50:02,10.64.105.242,6477,47.90.104.180,80,xiaoxia.org
2017-11-18 14:50:56,10.64.106.38,4926,10.63.120.70,443,OA.hightech.com
2017-11-18 14:51:04,10.64.106.34,2488,10.50.50.28,443,lib01.hightech.com
2017-11-18 14:51:24,10.64.105.125,2214,10.63.120.70,443,OA.hightech.com
2017-11-18 14:51:30,10.64.105.151,3934,10.50.50.27,443,jira.hightech.com
2017-11-18 14:53:36,10.64.105.161,3889,104.28.19.152,443,www.dreamincode.net/forums/
2017-11-18 14:53:40,10.64.105.227,3304,10.7.133.15,80,
2017-11-18 14:53:46,10.64.105.104,3984,10.7.133.16,80,
2017-11-18 14:55:47,10.64.106.10,4585,74.86.12.172,8080,www.google.com
2017-11-18 14:55:54,10.64.105.99,3812,10.50.50.26,443,git.hightech.com
2017-11-18 14:58:03,10.64.105.13,2996,10.50.50.44,57100,
