time,sip,sport,dip,dport,host
2017-11-04 14:45:52,10.64.106.17,2353,10.50.50.29,443,lib02.hightech.com
2017-11-04 14:48:52,10.64.106.17,2484,10.5.71.60,443,email.hightech.com
2017-11-04 14:58:48,10.64.105.34,4773,10.5.71.60,443,email.hightech.com
2017-11-04 14:58:54,10.64.105.34,3603,10.5.71.60,443,email.hightech.com
2017-11-04 15:08:39,10.64.106.17,2912,10.7.133.18,80,
2017-11-04 15:24:42,10.64.105.34,2416,10.50.50.26,443,git.hightech.com
2017-11-04 15:31:15,10.64.105.34,5348,10.5.71.60,443,email.hightech.com
2017-11-04 15:32:24,10.64.105.34,5415,45.118.133.166,443,www.hencuo.com
2017-11-04 15:32:37,10.64.105.34,3993,10.50.50.28,443,lib01.hightech.com
2017-11-04 15:34:10,10.64.105.34,4233,198.13.106.136,443,www.j2medev.com/bbs/index.asp
2017-11-04 15:39:35,10.64.105.34,2690,10.50.50.48,80,
2017-11-04 15:41:20,10.64.105.34,5574,10.50.50.48,80,
2017-11-04 15:54:30,10.64.105.34,3224,10.50.50.26,443,git.hightech.com
2017-11-04 15:57:22,10.64.106.51,3524,10.7.133.15,80,
2017-11-04 16:02:56,10.64.106.51,3267,58.222.19.72,443,www.37.com
2017-11-04 16:19:13,10.64.106.51,2612,10.50.50.29,443,lib02.hightech.com
2017-11-04 16:20:32,10.64.106.17,2823,10.50.50.26,443,git.hightech.com
2017-11-04 16:22:30,10.64.106.51,3280,10.50.50.26,443,git.hightech.com
2017-11-04 16:24:51,10.64.105.34,4147,10.50.50.29,443,lib02.hightech.com
2017-11-04 16:31:51,10.64.106.17,2185,116.251.204.42,443,www.ruanyifeng.com/blog/
2017-11-04 16:32:26,10.64.105.34,4861,10.5.71.60,443,email.hightech.com
2017-11-04 16:32:33,10.64.106.51,3846,10.50.50.27,443,jira.hightech.com
2017-11-04 16:32:43,10.64.105.34,2446,10.5.71.60,443,email.hightech.com
2017-11-04 16:34:26,10.64.106.51,2815,10.50.50.26,443,git.hightech.com
2017-11-04 16:41:05,10.64.105.34,3043,10.50.50.48,80,
2017-11-04 16:47:12,10.64.105.34,5445,10.50.50.28,443,lib01.hightech.com
2017-11-04 16:51:24,10.64.106.17,2732,10.5.71.60,443,email.hightech.com
2017-11-04 16:55:15,10.64.105.34,3950,198.13.106.136,443,www.j2medev.com/bbs/index.asp
2017-11-04 16:57:23,10.64.105.34,3216,10.5.71.60,443,email.hightech.com
2017-11-04 16:58:04,10.64.106.51,3676,10.7.133.15,80,
2017-11-04 16:58:16,10.64.106.51,3004,58.223.168.55,443,www.v2ex.com
2017-11-04 16:59:50,10.64.106.51,2969,10.50.50.29,443,lib02.hightech.com
2017-11-04 17:03:18,10.64.106.51,3785,58.223.168.55,443,www.v2ex.com
2017-11-04 17:04:23,10.64.106.17,2615,58.218.207.238,8080,jb51.net
2017-11-04 17:12:59,10.64.106.51,2776,58.223.168.55,443,www.v2ex.com
2017-11-04 17:19:00,10.64.106.17,2316,10.50.50.26,443,git.hightech.com
2017-11-04 17:26:47,10.64.105.34,4317,10.5.71.60,443,email.hightech.com
2017-11-04 17:27:50,10.64.105.34,3691,10.63.120.70,443,OA.hightech.com
2017-11-04 17:34:04,10.64.106.51,3419,10.50.50.26,443,git.hightech.com
2017-11-04 17:37:51,10.64.106.51,3337,10.63.120.70,443,OA.hightech.com
2017-11-04 17:45:41,10.64.106.51,3120,10.50.50.28,443,lib01.hightech.com
2017-11-04 17:46:49,10.64.105.34,3423,10.50.50.28,443,lib01.hightech.com
2017-11-04 17:48:51,10.64.105.34,3382,10.5.71.60,443,email.hightech.com
2017-11-04 17:53:58,10.64.105.34,2693,10.50.50.27,443,jira.hightech.com
2017-11-04 18:09:48,10.64.106.51,2869,151.101.193.34,80,gizmodo.com
2017-11-04 18:12:22,10.64.105.34,3459,10.50.50.48,80,
2017-11-04 18:26:34,10.64.105.34,4539,10.50.50.48,80,
2017-11-04 18:32:27,10.64.105.34,2901,10.50.50.29,443,lib02.hightech.com
2017-11-04 18:34:17,10.64.105.34,5138,10.50.50.27,443,jira.hightech.com
2017-11-04 18:44:54,10.64.105.34,3095,10.5.71.60,443,email.hightech.com
2017-11-04 18:54:00,10.64.105.34,2613,10.50.50.29,443,lib02.hightech.com
2017-11-04 18:56:28,10.64.105.34,4109,10.50.50.28,443,lib01.hightech.com
2017-11-04 19:00:33,10.64.105.34,4727,10.50.50.48,80,
2017-11-04 19:06:55,10.64.105.34,2290,10.50.50.28,443,lib01.hightech.com
