proto,dip,dport,sip,sport,state,time,user
mysql,10.50.50.37,4443,10.64.106.34,3636,success,2017-11-11 15:13:38,1210
tds,10.50.50.28,54238,10.64.105.67,3564,success,2017-11-11 15:16:34,1405
sftp,10.50.50.40,22,10.64.105.78,3071,success,2017-11-11 15:19:30,1343
sftp,10.50.50.26,22,10.64.105.188,2774,success,2017-11-11 15:22:35,1234
mongodb,10.50.50.28,8005,10.64.105.100,1879,success,2017-11-11 15:25:09,1345
postgresql,10.50.50.26,5432,10.64.105.100,1879,success,2017-11-11 15:28:25,1345
mongodb,10.50.50.28,8005,10.64.105.78,3071,success,2017-11-11 15:32:34,1343
ssh,10.50.50.26,22,10.64.105.78,3071,success,2017-11-11 15:36:28,1343
postgresql,10.50.50.48,5432,10.64.105.226,2749,success,2017-11-11 15:40:09,1315
ssh,10.50.50.26,22,10.64.105.226,2749,success,2017-11-11 15:40:22,1315
ftp,10.50.50.37,21,10.64.105.153,2694,success,2017-11-11 15:50:08,1308
postgresql,10.50.50.28,5432,10.64.105.59,3113,success,2017-11-11 15:50:17,1334
sftp,10.50.50.29,22,10.64.105.100,1879,success,2017-11-11 16:00:40,1345
sftp,10.50.50.43,22,10.64.105.67,3564,success,2017-11-11 16:02:39,1405
ssh,10.5.71.60,22,10.64.105.59,49193,success,2017-11-11 16:03:06,1334
tds,10.50.50.29,54238,10.64.105.188,2774,success,2017-11-11 16:06:33,1234
postgresql,10.50.50.29,5432,10.64.105.72,3132,success,2017-11-11 16:06:38,1286
sftp,10.7.133.16,22,10.64.105.59,3113,error,2017-11-11 16:07:49,1334
tds,10.50.50.26,54238,10.64.105.211,2794,success,2017-11-11 16:08:59,1398
mysql,10.50.50.26,4443,10.64.105.226,2749,success,2017-11-11 16:15:40,1315
mongodb,10.50.50.28,8005,10.64.105.103,2795,success,2017-11-11 16:19:38,1357
mysql,10.50.50.26,4443,10.64.105.188,2774,success,2017-11-11 16:28:40,1234
ssh,10.50.50.29,22,10.64.105.92,3139,success,2017-11-11 16:29:15,1354
tds,10.50.50.26,54238,10.64.105.67,3564,success,2017-11-11 16:30:57,1405
mysql,10.50.50.26,4443,10.64.105.72,3132,success,2017-11-11 16:37:40,1286
mysql,10.50.50.29,4443,10.64.105.188,2774,success,2017-11-11 16:43:28,1234
ssh,10.50.50.29,22,10.64.105.145,2286,success,2017-11-11 16:43:50,1496
postgresql,10.50.50.38,5432,10.64.105.226,2749,success,2017-11-11 16:44:03,1315
ssh,10.50.50.26,22,10.64.105.59,3113,success,2017-11-11 16:48:24,1334
mongodb,10.50.50.38,8005,10.64.105.67,3564,success,2017-11-11 16:49:02,1405
ftp,10.50.50.29,21,10.64.105.226,2749,success,2017-11-11 16:49:32,1315
tds,10.7.133.15,54238,10.64.105.153,2694,success,2017-11-11 16:50:13,1308
tds,10.50.50.40,54238,10.64.105.72,3132,success,2017-11-11 16:53:11,1286
ssh,10.50.50.29,22,10.64.105.78,3071,success,2017-11-11 16:56:26,1343
mysql,10.50.50.29,4443,10.64.105.92,3139,success,2017-11-11 17:07:50,1354
mysql,10.50.50.29,4443,10.64.105.188,2774,success,2017-11-11 17:18:18,1234
mysql,10.50.50.26,4443,10.64.105.78,3071,success,2017-11-11 17:21:10,1343
tds,10.7.133.22,54238,10.64.105.78,3071,success,2017-11-11 17:21:50,1343
postgresql,10.50.50.28,5432,10.64.105.153,2694,success,2017-11-11 17:23:22,1308
tds,10.7.133.15,54238,10.64.105.103,2795,success,2017-11-11 17:29:09,1357
mongodb,10.50.50.26,8005,10.64.105.59,3113,success,2017-11-11 17:31:28,1334
ftp,10.50.50.33,21,10.64.105.211,2794,success,2017-11-11 17:33:12,1398
sftp,10.7.133.18,22,10.64.105.103,2795,success,2017-11-11 17:34:46,1357
mongodb,10.50.50.29,8005,10.64.105.103,2795,success,2017-11-11 17:39:30,1357
ftp,10.50.50.26,21,10.64.105.103,2795,success,2017-11-11 17:39:57,1357
sftp,10.50.50.43,22,10.64.105.59,3113,success,2017-11-11 17:44:34,1334
sftp,10.50.50.40,22,10.64.105.75,3053,success,2017-11-11 17:45:43,1359
mysql,10.50.50.26,4443,10.64.105.67,3564,error,2017-11-11 17:49:39,1405
ssh,10.7.133.22,22,10.64.105.78,3071,success,2017-11-11 17:59:44,1343
sftp,10.50.50.48,22,10.64.105.211,2794,success,2017-11-11 18:02:25,1398
sftp,10.50.50.26,22,10.64.106.34,3636,success,2017-11-11 18:02:42,1210
ftp,10.50.50.35,21,10.64.105.75,3053,success,2017-11-11 18:03:57,1359
tds,10.50.50.29,54238,10.64.105.145,2286,success,2017-11-11 18:06:26,1496
tds,10.50.50.26,54238,10.64.105.103,2795,success,2017-11-11 18:10:43,1357
mongodb,10.50.50.26,8005,10.64.105.59,3113,success,2017-11-11 18:11:37,1334
tds,10.50.50.28,54238,10.64.105.211,2794,success,2017-11-11 18:21:37,1398
ssh,10.50.50.28,22,10.64.105.92,3139,success,2017-11-11 18:33:50,1354
postgresql,10.50.50.29,5432,10.64.105.75,3053,success,2017-11-11 18:38:42,1359
mysql,10.7.133.16,4443,10.64.105.59,3113,success,2017-11-11 18:45:37,1334
sftp,10.7.133.15,22,10.64.105.72,3132,success,2017-11-11 18:55:57,1286
ftp,10.50.50.49,21,10.64.105.72,3132,success,2017-11-11 19:10:59,1286
mysql,10.50.50.29,4443,10.64.106.34,3636,success,2017-11-11 19:19:39,1210
ftp,10.50.50.28,21,10.64.105.72,3132,success,2017-11-11 19:31:51,1286
ftp,10.50.50.26,21,10.64.105.72,3132,success,2017-11-11 19:48:10,1286
mongodb,10.50.50.37,8005,10.64.106.34,3636,success,2017-11-11 20:17:34,1210
mongodb,10.50.50.28,8005,10.64.105.72,3132,success,2017-11-11 20:34:42,1286
mongodb,10.50.50.29,8005,10.64.106.34,3636,success,2017-11-11 20:40:00,1210
ftp,10.50.50.29,21,10.64.105.72,3132,success,2017-11-11 20:42:11,1286
