stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length
2017-11-12 09:32:33,2017-11-12 09:32:43,sftp,10.50.50.29,22,10.64.105.146,1664,1351,5668
2017-11-12 09:32:33,2017-11-12 09:32:43,sftp,10.50.50.29,22,10.64.105.146,1664,30005361,4084
2017-11-12 09:32:43,2017-11-12 09:32:53,sftp,10.50.50.29,22,10.64.105.146,1664,90008154,2628
2017-11-12 09:32:53,2017-11-12 09:33:03,ssh,219.216.128.25,22,10.50.50.29,5863,80004774,8763
2017-11-12 09:33:50,2017-11-12 09:50:51,smtp,10.5.71.60,25,10.116.216.72,1908,160,108
2017-11-12 09:35:06,2017-11-12 09:45:14,smtp,10.5.71.60,25,10.116.216.73,1704,155,236
2017-11-12 09:36:16,2017-11-12 09:55:54,smtp,10.5.71.60,25,10.116.216.71,2347,120,133
2017-11-12 09:36:23,2017-11-12 09:49:36,smtp,10.5.71.60,25,10.116.216.71,2235,151,384
2017-11-12 09:41:25,2017-11-12 09:57:37,smtp,10.5.71.60,25,10.116.216.71,1622,178,297
2017-11-12 09:43:23,2017-11-12 09:56:43,smtp,10.5.71.60,25,10.116.216.73,2469,107,106
2017-11-12 09:43:25,2017-11-12 09:57:07,smtp,10.5.71.60,25,10.116.216.71,1761,102,110
2017-11-12 09:45:09,2017-11-12 10:02:23,smtp,10.5.71.60,25,10.116.216.71,1617,113,220
2017-11-12 09:45:29,2017-11-12 10:01:17,smtp,10.5.71.60,25,10.116.216.73,1683,191,185
2017-11-12 09:46:08,2017-11-12 09:46:18,tds,10.50.50.28,54238,10.64.105.14,1648,120002574,2382
2017-11-12 09:46:08,2017-11-12 09:46:18,tds,10.50.50.28,54238,10.64.105.14,1648,2939,375
2017-11-12 09:46:18,2017-11-12 09:46:28,ssh,219.216.128.25,22,10.50.50.28,5759,7432,60005177
2017-11-12 09:46:28,2017-11-12 09:46:38,tds,10.50.50.28,54238,10.64.105.14,1648,150009532,1414
2017-11-12 09:47:43,2017-11-12 09:47:53,tds,10.50.50.28,54238,10.64.106.27,1545,1746,4779
2017-11-12 09:47:43,2017-11-12 09:47:53,tds,10.50.50.28,54238,10.64.106.27,1545,4212,90004793
2017-11-12 09:47:49,2017-11-12 09:47:59,mongodb,10.50.50.43,8005,10.64.105.4,2223,3862,694
2017-11-12 09:47:49,2017-11-12 09:47:59,ssh,202.141.176.110,22,10.50.50.43,5192,4186,100005184
2017-11-12 09:47:59,2017-11-12 09:48:09,ssh,219.216.128.25,22,10.50.50.43,5049,160006847,8090
2017-11-12 09:49:46,2017-11-12 10:08:29,smtp,10.5.71.60,25,10.116.216.72,2345,134,136
2017-11-12 09:51:55,2017-11-12 10:08:05,smtp,10.5.71.60,25,219.142.78.230,1915,157,190
2017-11-12 09:52:01,2017-11-12 09:52:11,mysql,10.50.50.26,4443,10.64.105.106,2280,1787,6604
2017-11-12 09:52:14,2017-11-12 09:52:15,http,10.5.71.60,25,123.125.50.182,4582,2988,4905
2017-11-12 09:52:26,2017-11-12 09:52:36,sftp,10.50.50.28,22,10.64.105.38,1690,2653,1474
2017-11-12 09:52:26,2017-11-12 09:52:36,ssh,151.101.228.162,22,10.50.50.28,5318,9981,80009392
2017-11-12 09:52:29,2017-11-12 10:06:05,smtp,10.5.71.60,25,10.116.216.72,2262,126,175
2017-11-12 09:52:37,2017-11-12 09:52:47,ssh,10.50.50.38,22,10.64.105.180,2007,4209,9437
2017-11-12 09:55:15,2017-11-12 09:55:25,ssh,10.50.50.34,22,10.64.105.64,1903,1746,3882
2017-11-12 09:55:15,2017-11-12 09:55:25,ssh,114.55.80.225,22,10.50.50.34,5942,100008478,8409
2017-11-12 09:55:22,2017-11-12 10:10:07,smtp,10.5.71.60,25,163.177.72.176,1637,131,140
2017-11-12 09:55:31,2017-11-12 09:55:41,ftp,10.50.50.41,21,10.64.105.20,2491,1437,2641
2017-11-12 09:55:31,2017-11-12 09:55:41,ssh,219.216.128.25,22,10.50.50.41,5313,2787,140002434
2017-11-12 09:55:36,2017-11-12 09:55:46,sftp,10.50.50.29,22,10.64.105.51,2290,150007154,9975
2017-11-12 09:55:41,2017-11-12 09:55:51,ftp,10.50.50.41,21,10.64.105.20,2491,60004728,7038
2017-11-12 09:55:46,2017-11-12 09:55:56,ssh,219.216.128.25,22,10.50.50.29,5998,8413,160008471
2017-11-12 09:55:51,2017-11-12 09:56:01,ftp,10.50.50.41,21,10.64.105.20,2491,90008937,8967
2017-11-12 09:55:56,2017-11-12 09:56:06,sftp,10.50.50.29,22,10.64.105.51,2290,30000978,5879
2017-11-12 09:56:01,2017-11-12 09:56:11,ftp,10.50.50.41,21,10.64.105.20,2491,5468,60000628
2017-11-12 09:56:09,2017-11-12 09:56:19,postgresql,10.50.50.29,5432,10.64.105.239,2344,4142,6329
2017-11-12 09:56:55,2017-11-12 09:57:05,mysql,10.50.50.31,4443,10.64.105.3,1553,3072,9464
2017-11-12 09:56:55,2017-11-12 09:57:05,mysql,10.50.50.31,4443,10.64.105.3,1553,6525,240001089
2017-11-12 09:58:29,2017-11-12 10:16:42,smtp,10.5.71.60,25,10.116.216.71,1605,167,273
2017-11-12 10:05:54,2017-11-12 10:06:20,http,220.181.112.244,443,10.64.106.4,2181,10078,4159854
2017-11-12 10:06:22,2017-11-12 10:06:28,http,10.50.50.29,443,10.64.105.146,1682,4368,777669
2017-11-12 10:06:47,2017-11-12 10:07:28,http,220.181.112.244,443,10.64.106.4,2199,23,960702
2017-11-12 10:07:10,2017-11-12 10:23:03,smtp,10.5.71.60,25,10.116.216.72,1687,183,246
2017-11-12 10:07:12,2017-11-12 10:07:39,http,10.50.50.29,443,10.64.105.146,1784,21578,2953
2017-11-12 10:07:13,2017-11-12 10:07:32,http,10.50.50.29,443,10.64.105.146,1696,13185,5559
2017-11-12 10:07:19,2017-11-12 10:23:04,smtp,10.5.71.60,25,10.116.216.72,1748,163,395
2017-11-12 10:07:44,2017-11-12 10:07:52,http,10.50.50.29,443,10.64.105.146,1714,6383,2740008
2017-11-12 10:07:52,2017-11-12 10:07:58,http,10.50.50.29,443,10.64.105.146,1775,2711,4110977
2017-11-12 10:08:30,2017-11-12 10:09:15,http,10.5.71.60,443,10.64.106.32,2504,1206,3555907
2017-11-12 10:08:56,2017-11-12 10:09:41,http,10.50.50.29,443,10.64.105.146,1729,8811,2569147
2017-11-12 10:09:05,2017-11-12 10:09:38,http,10.50.50.29,443,10.64.105.146,1718,25465,272583
2017-11-12 10:09:10,2017-11-12 10:09:53,http,10.5.71.60,443,10.64.106.32,2512,98,2880578
2017-11-12 10:09:16,2017-11-12 10:10:09,http,10.50.50.29,443,10.64.105.146,1753,394,314430
2017-11-12 10:10:04,2017-11-12 10:11:04,http,10.5.71.60,443,10.64.106.32,2519,1311,1713193
2017-11-12 10:10:18,2017-11-12 10:10:32,http,10.5.71.60,443,10.64.106.6,2166,89143,969311
2017-11-12 10:10:22,2017-11-12 10:11:04,http,10.5.71.60,443,10.64.106.6,2169,4482,4824555
2017-11-12 10:10:22,2017-11-12 10:10:29,http,10.5.71.60,443,10.64.106.32,2545,1044,121557
2017-11-12 10:10:26,2017-11-12 10:10:43,http,10.5.71.60,443,10.64.106.32,2529,213,2
2017-11-12 10:11:10,2017-11-12 10:11:22,http,10.5.71.60,443,10.64.106.32,1808,1034,726514
2017-11-12 10:11:18,2017-11-12 10:12:13,http,10.5.71.60,443,10.64.106.32,1837,11361,32741
2017-11-12 10:11:37,2017-11-12 10:12:08,http,10.5.71.60,443,10.64.106.6,2184,5241,180796
2017-11-12 10:11:48,2017-11-12 10:12:28,http,10.5.71.60,443,10.64.106.32,2531,54854,324700
2017-11-12 10:11:53,2017-11-12 10:12:18,http,10.5.71.60,443,10.64.106.32,1822,190,302193
2017-11-12 10:12:34,2017-11-12 10:13:14,http,10.5.71.60,443,10.64.106.32,1897,19073,1380341
2017-11-12 10:12:50,2017-11-12 10:13:34,http,10.5.71.60,443,10.64.106.32,1833,1196,9011
2017-11-12 10:13:14,2017-11-12 10:13:49,http,10.5.71.60,443,10.64.106.32,1869,1903,2448258
2017-11-12 10:13:59,2017-11-12 10:29:33,smtp,10.5.71.60,25,10.64.106.5,2237,188,228
2017-11-12 10:14:12,2017-11-12 10:14:40,http,203.188.200.67,443,10.64.106.13,2492,32871,517512
2017-11-12 10:14:16,2017-11-12 10:14:41,http,45.119.127.206,8080,10.64.105.180,2041,18125,965758
2017-11-12 10:14:26,2017-11-12 10:14:47,http,45.119.127.206,8080,10.64.105.180,2093,24003,699319
2017-11-12 10:14:33,2017-11-12 10:14:41,http,203.188.200.67,443,10.64.106.13,2502,1248,1170039
2017-11-12 10:14:41,2017-11-12 10:14:56,http,45.119.127.206,8080,10.64.105.180,2063,4643,5932349
2017-11-12 10:14:43,2017-11-12 10:15:29,http,203.188.200.67,443,10.64.106.13,2516,13338,325015
2017-11-12 10:14:49,2017-11-12 10:14:58,http,45.119.127.206,8080,10.64.105.180,2128,7753,7374011
2017-11-12 10:15:07,2017-11-12 10:15:46,http,203.188.200.67,443,10.64.106.13,2560,50662,410
2017-11-12 10:15:14,2017-11-12 10:15:36,http,42.81.4.44,443,10.64.106.32,2454,496,3388630
2017-11-12 10:15:16,2017-11-12 10:32:02,smtp,10.5.71.60,25,10.64.106.4,1698,175,187
2017-11-12 10:15:21,2017-11-12 10:15:25,http,42.81.4.44,443,10.64.106.32,2479,991,618407
2017-11-12 10:15:32,2017-11-12 10:15:46,http,203.188.200.67,443,10.64.106.13,2592,8740,1304904
2017-11-12 10:15:36,2017-11-12 10:16:35,http,203.188.200.67,443,10.64.106.13,2550,7203,180814
2017-11-12 10:15:38,2017-11-12 10:16:32,http,45.119.127.206,8080,10.64.105.180,2070,105,8268
2017-11-12 10:15:47,2017-11-12 10:15:53,http,211.151.18.66,80,10.64.105.219,4257,1844,3227
2017-11-12 10:16:00,2017-11-12 10:16:37,http,45.119.127.206,8080,10.64.105.180,2102,47,678153
2017-11-12 10:16:12,2017-11-12 10:16:18,http,114.80.223.61,443,10.64.106.10,1929,151,1447607
2017-11-12 10:16:15,2017-11-12 10:16:40,http,42.81.4.44,443,10.64.106.32,2496,3,2096
2017-11-12 10:16:28,2017-11-12 10:16:51,http,10.50.50.26,443,10.64.105.4,2247,11458,2783536
2017-11-12 10:16:43,2017-11-12 10:17:27,http,114.80.223.61,443,10.64.106.10,1941,43059,694521
2017-11-12 10:16:54,2017-11-12 10:16:57,http,203.188.200.67,443,10.64.106.13,2520,14621,16406
2017-11-12 10:17:04,2017-11-12 10:17:45,http,114.80.223.61,443,10.64.106.10,1977,4823,203558
2017-11-12 10:17:10,2017-11-12 10:17:14,http,218.244.139.171,443,10.64.106.27,1551,35365,10844
2017-11-12 10:17:29,2017-11-12 10:17:35,http,114.80.223.61,443,10.64.106.10,1953,6482,364479
2017-11-12 10:17:32,2017-11-12 10:17:58,http,45.119.127.206,8080,10.64.105.180,2143,1819,1226477
2017-11-12 10:17:33,2017-11-12 10:18:05,http,104.202.166.106,443,10.64.105.51,2292,56826,4596310
2017-11-12 10:17:33,2017-11-12 10:18:07,http,218.244.139.171,443,10.64.106.27,1594,2244,931412
2017-11-12 10:17:51,2017-11-12 10:18:45,http,218.244.139.171,443,10.64.106.27,1569,11726,348199
2017-11-12 10:17:56,2017-11-12 10:18:45,http,218.244.139.171,443,10.64.106.27,1561,59409,665814
2017-11-12 10:17:57,2017-11-12 10:18:24,http,218.244.139.171,443,10.64.106.27,1628,62116,4054527
2017-11-12 10:18:14,2017-11-12 10:18:18,http,104.202.166.106,443,10.64.105.51,2300,795,1755079
2017-11-12 10:18:24,2017-11-12 10:19:05,http,10.5.71.60,443,10.64.105.205,2342,27077,3185593
2017-11-12 10:18:25,2017-11-12 10:19:11,http,10.5.71.60,443,10.64.105.205,2377,4096,4359262
2017-11-12 10:18:33,2017-11-12 10:18:54,http,104.202.166.106,443,10.64.105.51,2299,8103,4833493
2017-11-12 10:18:34,2017-11-12 10:18:40,http,45.119.127.206,8080,10.64.105.180,2116,912,4229184
2017-11-12 10:19:01,2017-11-12 10:19:23,http,203.188.200.67,443,10.64.106.13,2557,55830,421774
2017-11-12 10:19:06,2017-11-12 10:19:27,http,114.80.223.61,443,10.64.106.10,2000,14074,1117685
2017-11-12 10:19:09,2017-11-12 10:19:43,http,10.5.71.60,443,10.64.105.205,2379,3450,4606660
2017-11-12 10:19:23,2017-11-12 10:19:36,http,203.188.200.67,443,10.64.106.13,2579,60747,72625
2017-11-12 10:19:48,2017-11-12 10:19:57,http,10.5.71.60,443,10.64.106.32,2024,29574,3857759
2017-11-12 10:19:49,2017-11-12 10:20:18,http,10.5.71.60,443,10.64.106.32,2090,5437,207378
2017-11-12 10:19:53,2017-11-12 10:20:03,http,111.225.222.134,443,10.64.105.20,2508,32128,1167613
2017-11-12 10:20:08,2017-11-12 10:20:38,http,10.5.71.60,443,10.64.106.32,2046,4407,1209
2017-11-12 10:20:10,2017-11-12 10:20:21,http,10.5.71.60,443,10.64.105.205,2419,5659,115022
2017-11-12 10:20:37,2017-11-12 10:20:57,http,111.225.222.134,443,10.64.105.20,2529,17754,197597
2017-11-12 10:20:46,2017-11-12 10:21:44,http,10.5.71.60,443,10.64.106.32,2032,574,816350
2017-11-12 10:20:58,2017-11-12 10:21:33,http,111.225.222.134,443,10.64.105.20,2543,9554,167879
2017-11-12 10:21:08,2017-11-12 10:21:14,http,10.5.71.60,443,10.64.106.32,2045,6552,5088780
2017-11-12 10:21:36,2017-11-12 10:22:13,http,203.188.200.67,443,10.64.106.13,2611,7992,451851
2017-11-12 10:22:00,2017-11-12 10:22:48,http,111.225.222.134,443,10.64.105.20,2544,1220,1518486
2017-11-12 10:22:20,2017-11-12 10:22:54,http,111.225.222.134,443,10.64.105.20,2560,25770,3271311
2017-11-12 10:22:47,2017-11-12 10:38:16,smtp,10.5.71.60,25,10.116.216.71,2324,100,288
2017-11-12 10:23:13,2017-11-12 10:23:27,http,10.5.71.60,443,10.64.106.32,2049,14436,9106
2017-11-12 10:23:13,2017-11-12 10:23:41,http,111.225.222.134,443,10.64.105.20,2573,32969,6986893
2017-11-12 10:23:19,2017-11-12 10:23:39,http,111.225.222.134,443,10.64.105.20,2597,1,212526
2017-11-12 10:23:38,2017-11-12 10:24:14,http,111.225.222.134,443,10.64.105.20,2550,782,1025377
2017-11-12 10:23:39,2017-11-12 10:42:49,smtp,10.5.71.60,25,10.116.216.71,1694,152,103
2017-11-12 10:23:44,2017-11-12 10:24:09,http,10.5.71.60,443,10.64.106.32,2065,18306,71910
2017-11-12 10:23:59,2017-11-12 10:24:00,http,111.225.222.134,443,10.64.105.20,2636,86,1504330
2017-11-12 10:24:13,2017-11-12 10:43:40,smtp,10.5.71.60,25,222.189.247.148,50093,131,375
2017-11-12 10:24:27,2017-11-12 10:25:24,http,10.5.71.60,443,10.64.106.32,2082,2590,325
2017-11-12 10:25:36,2017-11-12 10:26:29,http,10.5.71.60,443,10.64.106.13,3319,4597,4289371
2017-11-12 10:25:42,2017-11-12 10:25:57,http,10.5.71.60,443,10.64.106.13,3337,5601,1925318
2017-11-12 10:26:03,2017-11-12 10:26:50,http,10.5.71.60,443,10.64.106.13,3388,1357,418438
2017-11-12 10:26:12,2017-11-12 10:26:52,http,10.5.71.60,443,10.64.105.122,1868,14805,9258630
2017-11-12 10:26:27,2017-11-12 10:27:06,http,10.5.71.60,443,10.64.106.13,3389,43801,719627
2017-11-12 10:26:29,2017-11-12 10:27:07,http,140.205.62.20,80,10.64.105.122,1640,14878,1681747
2017-11-12 10:26:32,2017-11-12 10:26:48,http,140.205.62.20,80,10.64.105.122,1738,14241,2668467
2017-11-12 10:26:41,2017-11-12 10:27:19,http,140.205.62.20,80,10.64.105.122,1686,5904,6300578
2017-11-12 10:26:42,2017-11-12 10:27:33,http,140.205.62.20,80,10.64.105.122,1677,21389,3570585
2017-11-12 10:26:50,2017-11-12 10:27:14,http,10.5.71.60,443,10.64.106.13,3356,2555,2774990
2017-11-12 10:26:50,2017-11-12 10:27:10,http,10.5.71.60,443,10.64.106.13,3380,38044,8048342
2017-11-12 10:27:01,2017-11-12 10:27:40,http,10.5.71.60,443,10.64.105.122,1885,870,913941
2017-11-12 10:27:09,2017-11-12 10:27:19,http,10.63.120.70,443,10.64.106.32,2353,2761,713127
2017-11-12 10:27:13,2017-11-12 10:28:03,http,10.63.120.70,443,10.64.106.32,2387,17542,1220786
2017-11-12 10:27:18,2017-11-12 10:27:43,http,140.205.62.20,80,10.64.105.122,1680,12149,46559
2017-11-12 10:27:22,2017-11-12 10:28:01,http,10.63.120.70,443,10.64.106.32,2373,8432,9356
2017-11-12 10:27:29,2017-11-12 10:27:53,http,10.5.71.60,443,10.64.105.122,1935,752,7071397
2017-11-12 10:27:30,2017-11-12 10:27:30,http,10.5.71.60,443,10.64.106.13,3370,61,100165
2017-11-12 10:27:36,2017-11-12 10:28:34,http,140.205.62.20,80,10.64.105.122,1732,8950,11603
2017-11-12 10:27:36,2017-11-12 10:28:07,http,10.5.71.60,443,10.64.105.122,1889,76399,905627
2017-11-12 10:27:37,2017-11-12 10:28:25,http,10.63.120.70,443,10.64.106.32,2360,11625,7893895
2017-11-12 10:27:54,2017-11-12 10:28:22,http,140.205.62.20,80,10.64.105.122,1721,18,133048
2017-11-12 10:28:26,2017-11-12 10:29:15,http,10.63.120.70,443,10.64.106.32,2428,1232,2899
2017-11-12 10:28:30,2017-11-12 10:29:14,http,10.5.71.60,443,10.64.105.122,1913,26743,4982
2017-11-12 10:29:08,2017-11-12 10:29:35,http,10.5.71.60,443,10.64.105.122,1906,2756,1537585
2017-11-12 10:29:46,2017-11-12 10:47:54,smtp,10.5.71.60,25,10.64.105.106,2291,176,110
2017-11-12 10:30:05,2017-11-12 10:30:38,http,10.63.120.70,443,10.64.106.32,2390,6443,1418285
2017-11-12 10:30:10,2017-11-12 10:31:03,http,140.205.62.20,80,10.64.106.6,2022,3346,598361
2017-11-12 10:30:12,2017-11-12 10:30:39,http,140.205.62.20,80,10.64.106.6,2033,24331,557197
2017-11-12 10:30:29,2017-11-12 10:48:59,smtp,10.5.71.60,25,10.64.105.205,2337,178,359
2017-11-12 10:31:08,2017-11-12 10:31:25,http,10.63.120.70,443,10.64.106.32,2440,16544,1512677
2017-11-12 10:31:20,2017-11-12 10:32:18,http,10.63.120.70,443,10.64.106.32,2416,1510,494996
2017-11-12 10:31:21,2017-11-12 10:32:10,http,10.5.71.60,443,10.64.106.13,3398,27343,2333554
2017-11-12 10:31:29,2017-11-12 10:32:04,http,10.5.71.60,443,10.64.106.6,1605,1,3013097
2017-11-12 10:31:33,2017-11-12 10:32:20,http,10.5.71.60,443,10.64.106.6,1668,21746,277948
2017-11-12 10:31:49,2017-11-12 10:32:16,http,180.97.34.146,80,10.64.106.10,2518,32833,717910
2017-11-12 10:31:49,2017-11-12 10:43:51,smtp,10.5.71.60,25,125.112.225.185,60059,123,202
2017-11-12 10:32:03,2017-11-12 10:33:03,http,180.97.34.146,80,10.64.106.10,2524,56010,1795965
2017-11-12 10:32:07,2017-11-12 10:32:09,http,180.97.34.146,80,10.64.106.10,2572,12796,229526
2017-11-12 10:32:14,2017-11-12 10:32:55,http,10.5.71.60,443,10.64.106.4,1778,20445,214924
2017-11-12 10:32:17,2017-11-12 10:32:46,http,180.97.34.146,80,10.64.106.10,2553,912,11510
2017-11-12 10:32:23,2017-11-12 10:51:30,smtp,10.5.71.60,25,111.202.126.72,1670,175,259
2017-11-12 10:32:25,2017-11-12 10:48:48,smtp,10.5.71.60,25,10.116.216.71,1909,176,139
2017-11-12 10:32:25,2017-11-12 10:33:19,http,10.5.71.60,443,10.64.106.6,1609,4684,1088962
2017-11-12 10:32:29,2017-11-12 10:33:00,http,10.5.71.60,443,10.64.106.6,1612,1314,443444
2017-11-12 10:32:43,2017-11-12 10:32:59,http,10.5.71.60,443,10.64.106.4,1790,951,1981363
2017-11-12 10:33:02,2017-11-12 10:45:09,smtp,10.5.71.60,25,10.116.216.71,2359,135,337
2017-11-12 10:33:03,2017-11-12 10:34:03,http,10.5.71.60,443,10.64.106.13,3417,825,7661891
2017-11-12 10:33:07,2017-11-12 10:34:05,http,10.5.71.60,443,10.64.106.10,2044,39,82082
2017-11-12 10:33:40,2017-11-12 10:34:12,http,180.97.34.146,80,10.64.106.10,2530,1557,225421
2017-11-12 10:33:42,2017-11-12 10:34:00,http,10.5.71.60,443,10.64.106.10,2084,19374,671096
2017-11-12 10:33:51,2017-11-12 10:34:24,http,10.5.71.60,443,10.64.106.4,1830,67093,1054873
2017-11-12 10:33:54,2017-11-12 10:34:12,http,10.5.71.60,443,10.64.106.4,1824,130,6884311
2017-11-12 10:33:54,2017-11-12 10:34:40,http,10.5.71.60,443,10.64.106.10,2059,9701,2917278
2017-11-12 10:33:57,2017-11-12 10:34:33,http,10.5.71.60,443,10.64.106.4,1829,90391,3264704
